,0
0,-3.1159955697836828
1,-2.397358405248225
2,-1.7225778700330243
3,-1.0979950491493675
4,-0.5284102268111425
5,-0.017058903717400115
6,0.43433404481083376
7,0.8253703558305655
8,1.156694688116379
9,1.4296528546753218
10,1.645955747746438
11,1.807411405889395
12,1.915773230060372
13,1.9727284757560946
14,1.9800226980930065
15,1.939687510597998
16,1.8543154170007548
17,1.7273111250461461
18,1.5630477008835697
19,1.3668705484501893
20,1.1449216455951683
21,0.9037956082918487
22,0.650079034722896
23,0.38985476801804225
24,0.12826483171803196
25,-0.1307833949482197
26,-0.38471058916849055
27,-0.6321390049668341
28,-0.8725651130563855
29,-1.105881909018312
30,-1.331822025068278
31,-1.5494022910553502
32,-1.7564511443832092
33,-1.9492950769158859
34,-2.1226706109728495
35,-2.269913155829154
36,-2.383450184167787
37,-2.455589151137214
38,-2.4795380717284856
39,-2.450532328275764
40,-2.3668783816626733
41,-2.2306866299706654
42,-2.048077974271446
43,-1.828785329387872
44,-1.5848522040463777
45,-1.3291764122651812
46,-1.0737907039070689
47,-0.8280476907578641
48,-0.5974995522599083
49,-0.3832448917140946
50,-0.1821192937643223
51,0.012607750185505424
52,0.21009512464749427
53,0.4205320858737437
54,0.653649915612313
55,0.9172692391069923
56,1.2159694270372827
57,1.5499384122951938
58,1.9140539873437847
59,2.297267307106739
60,2.6824075018712032
61,3.0465948017910494
62,3.362511613309453
63,3.600783552412918
64,3.7335908320974585
65,3.7393010064082177
66,3.607402351437548
67,3.342491350197736
68,2.9666572211388447
69,2.5144538818492816
70,2.031666962819432
71,1.5655426233257455
72,1.1567132248252883
73,0.8332924668622265
74,0.6076192209406855
75,0.4760764679618949
76,0.42129848531889674
77,0.41566504198837884
78,0.4254035512117987
79,0.4145416784244558
80,0.34836179410084334
81,0.19634260203952256
82,-0.06545143655048799
83,-0.45246666237572725
84,-0.9701122618771273
85,-1.612376848539664
86,-2.360398568910647
87,-3.18087051986073
88,-4.024462699807375
89,-4.825023865153755
90,-5.501154736428282
91,-5.962491575157165
92,-6.122912075324837
93,-5.920769932141569
94,-5.341763867607769
95,-4.439645419879486
96,-3.3165912695130855
97,-2.1292618524179225
98,-1.0360985576587045
99,-0.1658025851840014
100,0.4023382428839181
101,0.6427406298837972
102,0.5755757619620945
103,0.25391442042254014
104,-0.248580080658109
105,-0.8473413394751921
106,-1.4540970435675606
107,-1.9819104416759235
108,-2.3496113019485505
109,-2.4859674329380135
110,-2.333124377237216
111,-1.8485835316980963
112,-1.0060608525774588
113,0.20514878237859793
114,1.780976018743816
115,3.701265479041721
116,5.922528389774741
117,8.362487672200253
118,10.873034897249338
119,13.20023971745676
120,14.955971806158308
121,15.642484990541556
122,14.789626845113197
123,12.208703910844406
124,8.267870050154222
125,3.552721744456765
126,-0.9203964252378293
127,-4.545629889272685
128,-7.071894598747116
129,-8.546128296793743
130,-9.162932441390355
131,-9.148961125629045
132,-8.705154731294268
133,-7.989184846799768
134,-7.117201584373021
135,-6.171927592582102
136,-5.211167443254459
137,-4.274742366229399
138,-3.389589738705057
139,-2.5733396414344947
140,-1.8367780602518367
141,-1.1855525469369073
142,-0.621389361744391
143,-0.1430079084588272
144,0.25315074227378537
145,0.57231588924695
146,0.8208682366890722
147,1.0058972777137773
148,1.134830670167425
149,1.2151331730337198
150,1.2540715824356883
151,1.258540102849787
152,1.2349388872955274
153,1.1890975428342734
154,1.1262353021396325
155,1.0509494940137334
156,0.9672264749361351
157,0.8784675136841157
158,0.7875255878660486
159,0.6967489543841997
160,0.6080284068027952
161,0.5228458965511615
162,0.44232280216200487
163,0.3672666159110739
164,0.2982151973443498
165,0.23547803657901084
166,0.1791741939578007
167,0.1292667513341933
168,0.0855937361183058
169,0.047895571942526964
170,0.01583917701759725
171,-0.010961121193446298
172,-0.032925653975865436
173,-0.050494240414726645
174,-0.06411354441346781
175,-0.07422672227996689
176,-0.08126512473744889
177,-0.08564182279805825
178,-0.0877467358311538
179,-0.08794315153661732
180,-0.08656544070533514
181,-0.08391778403551402
182,-0.08027374338782374
183,-0.07587652529640253
184,-0.07093979996726071
185,-0.06564895411244562
186,-0.06016267056407347
187,-0.05461474151251257
188,-0.04911603528671281
189,-0.04375654874945428
190,-0.03860748855718298
191,-0.03372333470295553
192,-0.029143848915994728
193,-0.024895998646763003
194,-0.02099577455287209
195,-0.017449885661911288
196,-0.014257321775364226
197,-0.01141077725302317
198,-0.008897934143973036
199,-0.0067026057749672826
200,-0.004805744437181408
201,-0.003186318794474911
202,-0.0018220681350853125
203,-0.0006901416659901981
204,0.0002323682365905847
205,0.0009679895014622378
206,0.0015385210952019912
207,0.0019647616125459395
208,0.0022663065603902954
209,0.002461405542714836
210,0.0025668710270620146
211,0.0025980309201340045
212,0.0025687177761210163
213,0.0024912880857159343
214,0.0023766657289370457
215,0.0022344043064787844
216,0.002072763680721078
217,0.0018987966496091218
218,0.0017184422374159382
219,0.0015366226108813731
220,0.0013573411139964657
221,0.0011837793577920501
222,0.0010183917020967267
223,0.0008629958245289627
224,0.0007188583889464347
225,0.0005867751027798799
226,0.0004671446921897747
227,0.00036003652820808317
228,0.0002652518086032895
229,0.0001823783419119282
230,0.00011083909474860924
231,4.993475396514377e-05
232,-1.119375758599508e-06
233,-4.316176808546282e-05
234,-7.705796018988537e-05
235,-0.00010367830211244324
236,-0.0001238797371652554
237,-0.00013849118166444645
238,-0.00014830208160915856
239,-0.00015405373959357315
240,-0.00015643302580891632
241,-0.00015606811122816325
242,-0.00015352588790159652
243,-0.0001493107698229785
244,-0.0001438645973003465
245,-0.00013756739756598426
246,-0.0001307387839944787
247,-0.00012363980538381456
248,-0.00011647508500699077
249,-0.00010939511635908582
